placard_type,hazmat_class_railstate,hazmat_class_cfr,hazmat_name_cfr,hazmat_name_census,in_railstate,in_cfr,in_census,count_placard_type_railstate
UN2017,6.1,6.1,"Ammunition, tear-producing, non-explosive, without burster or expelling charge, non-fuzed","Ammunition, tear-producing, non-explosive, without burster or expelling charge, non-fuzed",TRUE,TRUE,TRUE,4
UN2022,6.1,6.1,Cresylic acid,Cresylic acid,TRUE,TRUE,TRUE,4
UN2037,2.1,2.1 #OR# 2.2,"Gas cartridges, (flammable) without a release device, non-refillable #OR# Receptacles, small, containing gas or gas cartridges (flammable) without release device, not refillable and not exceeding 1 L capacity #OR# Receptacles, small, containing gas or gas cartridges (non-flammable) without release device, not refillable and not exceeding 1 L capacity #OR# Receptacles, small, containing gas or gas cartridges (oxidizing), without release device, not refillable and not exceeding 1 L capacity","Gas cartridges, (flammable) without a release device, non-refillable #OR# Receptacles, small, containing gas or gas cartridges (flammable) without release device, not refillable and not exceeding 1 L capacity #OR# Receptacles, small, containing gas or gas cartridges (non-flammable) without release device, not refillable and not exceeding 1 L capacity #OR# Receptacles, small, containing gas or gas cartridges (oxidizing) without release device, not refillable and not exceeding 1 L capacity",TRUE,TRUE,TRUE,4
UN2219,3,3,Allyl glycidyl ether,Allyl glycidyl ether,TRUE,TRUE,TRUE,4
UN2251,3,3,"Bicyclo [2,2,1] hepta-2,5-diene, stabilized or 2,5-Norbornadiene, stabilized","Bicyclo [2,2,1] hepta-2,5-diene, stabilized or 2,5-Norbornadiene, stabilized",TRUE,TRUE,TRUE,4
UN2302,3,3,5-Methylhexan-2-one,5-Methylhexan-2-one,TRUE,TRUE,TRUE,4
UN2402,3,3,Propanethiols,Propanethiols,TRUE,TRUE,TRUE,4
UN2436,3,3,Thioacetic acid,Thioacetic acid,TRUE,TRUE,TRUE,4
UN2440,8,8,Stannic chloride pentahydrate,Stannic chloride pentahydrate,TRUE,TRUE,TRUE,4
UN2572,6.1,6.1,Phenylhydrazine,Phenylhydrazine,TRUE,TRUE,TRUE,4
UN2676,2.3,2.3,Stibine,Stibine,TRUE,TRUE,TRUE,4
UN2987,8,8,"Chlorosilanes, corrosive, n.o.s","Chlorosilanes, corrosive, n.o.s",TRUE,TRUE,TRUE,4
UN3066,8,8,Paint or Paint related material,Paint or Paint related material,TRUE,TRUE,TRUE,4
UN3085,5.1,5.1,"Oxidizing solid, corrosive, n.o.s","Oxidizing solid, corrosive, n.o.s",TRUE,TRUE,TRUE,4
UN3241,4.1,4.1,"2-Bromo-2-nitropropane-1,3-diol","2-Bromo-2-nitropropane-1,3-diol",TRUE,TRUE,TRUE,4
UN3387,6.1,6.1,"Toxic by inhalation liquid, oxidizing, n.o.s. with an LC50 lower than or equal to 200 ml/m3 and saturated vapor concentration greater than or equal to 500 LC50","Toxic by inhalation liquid, oxidizing, n.o.s. with an LC50 lower than or equal to 200 ml/m3 and saturated vapor concentration greater than or equal to 500 LC50",TRUE,TRUE,TRUE,4
UN3411,6.1,6.1,beta-Naphthylamine solution,beta-Naphthylamine solution,TRUE,TRUE,TRUE,4
UN3430,6.1,6.1,"Xylenols, liquid","Xylenols, liquid",TRUE,TRUE,TRUE,4
UN3443,6.1,6.1,"Dinitrobenzenes, solid","Dinitrobenzenes, solid",TRUE,TRUE,TRUE,4
UN3485,5.1,5.1,"Calcium hypochlorite, dry, corrosive or Calcium hypochlorite mixture, dry, corrosive with more than 39% available chlorine (8.8% available oxygen)","Calcium hypochlorite, dry, corrosive or Calcium hypochlorite mixture, dry, corrosive with more than 39% available chlorine (8.8% available oxygen)",TRUE,TRUE,TRUE,4
UN3528,3,3,"Engine, internal combustion, flammable liquid powered or Engine, fuel cell, flammable liquid powered or Machinery, internal combustion, flammable liquid powered or Machinery, fuel cell, flammable liquid powered","Engine, internal combustion, flammable liquid powered or Engine, fuel cell, flammable liquid powered or Machinery, internal combustion, flammable liquid powered or Machinery, fuel cell, flammable liquid powered",TRUE,TRUE,TRUE,4
UN0073,1.1B,1.1B,Detonators for ammunition,Detonators for ammunition,TRUE,TRUE,TRUE,3
UN0207,1.1D,1.1D,Tetranitroaniline,Tetranitroaniline,TRUE,TRUE,TRUE,3
UN1049,2.1,2.1,"Hydrogen, compressed","Hydrogen, compressed",TRUE,TRUE,TRUE,3
UN1098,6.1,6.1,Allyl alcohol,Allyl alcohol,TRUE,TRUE,TRUE,3
UN1112,3,3,Amyl nitrate,Amyl nitrate,TRUE,TRUE,TRUE,3
UN1153,3,3,Ethylene glycol diethyl ether,Ethylene glycol diethyl ether,TRUE,TRUE,TRUE,3
UN1156,3,3,Diethyl ketone,Diethyl ketone,TRUE,TRUE,TRUE,3
UN1180,3,3,Ethyl butyrate,Ethyl butyrate,TRUE,TRUE,TRUE,3
UN1182,6.1,6.1,Ethyl chloroformate,Ethyl chloroformate,TRUE,TRUE,TRUE,3
UN1190,3,3,Ethyl formate,Ethyl formate,TRUE,TRUE,TRUE,3
UN1196,3,3,Ethyltrichlorosilane,Ethyltrichlorosilane,TRUE,TRUE,TRUE,3
UN1313,4.1,4.1,Calcium resinate,Calcium resinate,TRUE,TRUE,TRUE,3
UN1360,4.3,4.3,Calcium phosphide,Calcium phosphide,TRUE,TRUE,TRUE,3
UN1364,4.2,4.2,"Cotton waste, oily","Cotton waste, oily",TRUE,TRUE,TRUE,3
UN1395,4.3,4.3,Aluminum ferrosilicon powder,Aluminum ferrosilicon powder,TRUE,TRUE,TRUE,3
UN1423,4.3,4.3,Rubidium,Rubidium,TRUE,TRUE,TRUE,3
UN1442,5.1,5.1,Ammonium perchlorate,Ammonium perchlorate,TRUE,TRUE,TRUE,3
UN1461,5.1,5.1,"Chlorates, inorganic, n.o.s","Chlorates, inorganic, n.o.s",TRUE,TRUE,TRUE,3
UN1462,5.1,5.1,"Chlorites, inorganic, n.o.s","Chlorites, inorganic, n.o.s",TRUE,TRUE,TRUE,3
UN1471,5.1,5.1,"Lithium hypochlorite, dry or Lithium hypochlorite mixture","Lithium hypochlorite, dry or Lithium hypochlorite mixture",TRUE,TRUE,TRUE,3
UN1474,5.1,5.1,Magnesium nitrate,Magnesium nitrate,TRUE,TRUE,TRUE,3
UN1481,5.1,5.1,"Perchlorates, inorganic, n.o.s.","Perchlorates, inorganic, n.o.s.",TRUE,TRUE,TRUE,3
UN1485,5.1,5.1,Potassium chlorate,Potassium chlorate,TRUE,TRUE,TRUE,3
UN1513,5.1,5.1,Zinc chlorate,Zinc chlorate,TRUE,TRUE,TRUE,3
UN1562,6.1,6.1,Arsenical dust,Arsenical dust,TRUE,TRUE,TRUE,3
UN1614,6.1,6.1,"Hydrogen cyanide, stabilized, with less than 3 percent water and absorbed in a porous inert material","Hydrogen cyanide, stabilized, with less than 3 percent water and absorbed in a porous inert material",TRUE,TRUE,TRUE,3
UN1631,6.1,6.1,Mercury benzoate,Mercury benzoate,TRUE,TRUE,TRUE,3
UN1672,6.1,6.1,Phenylcarbylamine chloride,Phenylcarbylamine chloride,TRUE,TRUE,TRUE,3
UN1685,6.1,6.1,Sodium arsenate,Sodium arsenate,TRUE,TRUE,TRUE,3
UN1701,6.1,6.1,"Xylyl bromide, liquid","Xylyl bromide, liquid",TRUE,TRUE,TRUE,3
UN1726,8,8,"Aluminum chloride, anhydrous","Aluminum chloride, anhydrous",TRUE,TRUE,TRUE,3
UN1731,8,8,"Antimony pentachloride, solutions","Antimony pentachloride, solutions",TRUE,TRUE,TRUE,3
UN1750,6.1,6.1,"Chloroacetic acid, solution","Chloroacetic acid, solution",TRUE,TRUE,TRUE,3
UN1764,8,8,Dichloroacetic acid,Dichloroacetic acid,TRUE,TRUE,TRUE,3
UN1768,8,8,"Difluorophosphoric acid, anhydrous","Difluorophosphoric acid, anhydrous",TRUE,TRUE,TRUE,3
UN1782,8,8,Hexafluorophosphoric acid,Hexafluorophosphoric acid,TRUE,TRUE,TRUE,3
UN1792,8,8,"Iodine monochloride, solid","Iodine monochloride, solid",TRUE,TRUE,TRUE,3
UN1799,8,8,Nonyltrichlorosilane,Nonyltrichlorosilane,TRUE,TRUE,TRUE,3
UN1811,8,8,Potassium hydrogendifluoride solid,Potassium hydrogendifluoride solid,TRUE,TRUE,TRUE,3
UN1817,8,8,Pyrosulfuryl chloride,Pyrosulfuryl chloride,TRUE,TRUE,TRUE,3
UN1839,8,8,Trichloroacetic acid,Trichloroacetic acid,TRUE,TRUE,TRUE,3
UN1885,6.1,6.1,Benzidine,Benzidine,TRUE,TRUE,TRUE,3
UN1912,2.1,2.1,Methyl chloride and methylene chloride mixtures,Methyl chloride and methylene chloride mixtures,TRUE,TRUE,TRUE,3
UN1920,3,3,Nonanes,Nonanes,TRUE,TRUE,TRUE,3
UN1921,3,3,"Propyleneimine, stabilized","Propyleneimine, stabilized",TRUE,TRUE,TRUE,3
UN1932,4.2,4.2,Zirconium scrap,Zirconium scrap,TRUE,TRUE,TRUE,3
UN1940,8,8,Thioglycolic acid,Thioglycolic acid,TRUE,TRUE,TRUE,3
UN1964,2.1,2.1,"Hydrocarbon gas mixture, compressed, n.o.s.","Hydrocarbon gas mixture, compressed, n.o.s.",TRUE,TRUE,TRUE,3
UN1968,2.2,2.2,"Insecticide gases, n.o.s.","Insecticide gases, n.o.s.",TRUE,TRUE,TRUE,3
UN1972,2.1,2.1,"Methane, refrigerated liquid (cryogenic liquid) or Natural gas, refrigerated liquid (cryogenic liquid, with high methane content)","Methane, refrigerated liquid (cryogenic liquid) or Natural gas, refrigerated liquid (cryogenic liquid), with high methane content)",TRUE,TRUE,TRUE,3
UN1988,3,3,"Aldehydes, flammable, toxic, n.o.s.","Aldehydes, flammable, toxic, n.o.s.",TRUE,TRUE,TRUE,3
UN2016,6.1,6.1,"Ammunition, toxic, non-explosive, without burster or expelling charge, non-fuzed","Ammunition, toxic, non-explosive, without burster or expelling charge, non-fuzed",TRUE,TRUE,TRUE,3
UN2024,6.1,6.1,"Mercury compound, liquid, n.o.s","Mercury compound, liquid, n.o.s",TRUE,TRUE,TRUE,3
UN2076,6.1,6.1,"Cresols, liquid","Cresols, liquid",TRUE,TRUE,TRUE,3
UN2077,6.1,6.1,alpha-Naphthylamine,alpha-Naphthylamine,TRUE,TRUE,TRUE,3
UN2213,4.1,4.1,Paraformaldehyde,Paraformaldehyde,TRUE,TRUE,TRUE,3
UN2235,6.1,6.1,"Chlorobenzyl chlorides, liquid","Chlorobenzyl chlorides, liquid",TRUE,TRUE,TRUE,3
UN2240,8,8,Chromosulfuric acid,Chromosulfuric acid,TRUE,TRUE,TRUE,3
UN2248,8,8,Di-n-butylamine,Di-n-butylamine,TRUE,TRUE,TRUE,3
UN2260,3,3,Tripropylamine,Tripropylamine,TRUE,TRUE,TRUE,3
UN2301,3,3,2-Methylfuran,2-Methylfuran,TRUE,TRUE,TRUE,3
UN2312,NA,6.1,"Phenol, molten","Phenol, molten",TRUE,TRUE,TRUE,3
UN2371,3,3,Isopentenes,Isopentenes,TRUE,TRUE,TRUE,3
UN2405,3,3,Isopropyl butyrate,Isopropyl butyrate,TRUE,TRUE,TRUE,3
UN2421,2.3,2.3,Nitrogen trioxide,Nitrogen trioxide,TRUE,TRUE,TRUE,3
UN2429,5.1,5.1,Calcium chlorate aqueous solution,Calcium chlorate aqueous solution,TRUE,TRUE,TRUE,3
UN2587,6.1,6.1,Benzoquinone,Benzoquinone,TRUE,TRUE,TRUE,3
UN2610,3,3,Triallylamine,Triallylamine,TRUE,TRUE,TRUE,3
UN2757,6.1,6.1,"Carbamate pesticides, solid, toxic","Carbamate pesticides, solid, toxic",TRUE,TRUE,TRUE,3
UN2795,8,8,"Batteries, wet, filled with alkali, electric storage","Batteries, wet, filled with alkali, electric storage",TRUE,TRUE,TRUE,3
UN2812,8,8,"Sodium aluminate, solid","Sodium aluminate, solid",TRUE,TRUE,TRUE,3
UN2900,6.2,6.2,"Infectious substances, affecting animals only","Infectious substances, affecting animals only",TRUE,TRUE,TRUE,3
UN2995,6.1,6.1,"Organochlorine pesticides, liquid, toxic, flammable, flash point not less than 23 degrees C","Organochlorine pesticides, liquid, toxic, flammable, flash point not less than 23 degrees C",TRUE,TRUE,TRUE,3
UN3027,6.1,6.1,"Coumarin derivative pesticides, solid, toxic","Coumarin derivative pesticides, solid, toxic",TRUE,TRUE,TRUE,3
UN3084,8,8,"Corrosive solids, oxidizing, n.o.s.","Corrosive solids, oxidizing, n.o.s.",TRUE,TRUE,TRUE,3
UN3123,6.1,6.1,"Toxic liquids, water-reactive, n.o.s","Toxic liquids, water-reactive, n.o.s",TRUE,TRUE,TRUE,3
UN3161,2.1,2.1,"Liquefied gas, flammable, n.o.s.","Liquefied gas, flammable, n.o.s.",TRUE,TRUE,TRUE,3
UN3227,4.1,4.1,Self-reactive liquid type E,Self-reactive liquid type E,TRUE,TRUE,TRUE,3
UN3236,4.1,4.1,"Self-reactive solid type D, temperature controlled","Self-reactive solid type D, temperature controlled",TRUE,TRUE,TRUE,3
UN3239,4.1,4.1,"Self-reactive liquid type F, temperature controlled","Self-reactive liquid type F, temperature controlled",TRUE,TRUE,TRUE,3
UN3240,4.1,4.1,"Self-reactive solid type F, temperature controlled","Self-reactive solid type F, temperature controlled",TRUE,TRUE,TRUE,3
UN3263,8,8,"Corrosive solid, basic, organic, n.o.s.","Corrosive solid, basic, organic, n.o.s.",TRUE,TRUE,TRUE,3
UN3269,3,3,"Polyester resin kit, liquid base material","Polyester resin kit, liquid base material",TRUE,TRUE,TRUE,3
UN3281,6.1,6.1,"Metal carbonyls, liquid, n.o.s.","Metal carbonyls, liquid, n.o.s.",TRUE,TRUE,TRUE,3
UN3294,6.1,6.1,"Hydrogen cyanide, solution in alcohol with not more than 45 percent hydrogen cyanide","Hydrogen cyanide, solution in alcohol with not more than 45 percent hydrogen cyanide",TRUE,TRUE,TRUE,3
UN3298,2.2,2.2,Ethylene oxide and pentafluoroethane mixture with not more than 7.9 percent ethylene oxide,Ethylene oxide and pentafluoroethane mixture with not more than 7.9 percent ethylene oxide,TRUE,TRUE,TRUE,3
UN3300,2.3,2.3,Ethylene oxide and carbon dioxide mixture with more than 87 percent ethylene oxide,Ethylene oxide and carbon dioxide mixture with more than 87 percent ethylene oxide,TRUE,TRUE,TRUE,3
UN3348,6.1,6.1,"Phenoxyacetic acid derivative pesticide, liquid, toxic","Phenoxyacetic acid derivative pesticide, liquid, toxic",TRUE,TRUE,TRUE,3
UN3351,6.1,6.1,"Pyrethroid pesticide, liquid, toxic, flammable, flash point not less than 23 degrees C","Pyrethroid pesticide, liquid, toxic, flammable, flash point not less than 23 degrees C",TRUE,TRUE,TRUE,3
UN3390,6.1,6.1,"Toxic by inhalation liquid, corrosive, n.o.s. with an LC50 lower than or equal to 1000 ml/m3 and saturated vapor concentration greater than or equal to 10 LC50","Toxic by inhalation liquid, corrosive, n.o.s. with an LC50 lower than or equal to 1000 ml/m3 and saturated vapor concentration greater than or equal to 10 LC50",TRUE,TRUE,TRUE,3
UN3416,6.1,6.1,"Chloroacetophenone, liquid, (CN)","Chloroacetophenone, liquid, (CN)",TRUE,TRUE,TRUE,3
UN3429,6.1,6.1,"Chlorotoluidines, liquid","Chlorotoluidines, liquid",TRUE,TRUE,TRUE,3
UN3434,6.1,6.1,"Nitrocresols, liquid","Nitrocresols, liquid",TRUE,TRUE,TRUE,3
UN3442,6.1,6.1,"Dichloroanilines, solid","Dichloroanilines, solid",TRUE,TRUE,TRUE,3
UN3447,6.1,6.1,"Nitroxylenes, solid","Nitroxylenes, solid",TRUE,TRUE,TRUE,3
UN3453,8,8,"Phosphoric acid, solid","Phosphoric acid, solid",TRUE,TRUE,TRUE,3
UN3459,6.1,6.1,"Nitrobromobenzenes, solid","Nitrobromobenzenes, solid",TRUE,TRUE,TRUE,3
UN3480,9,9,Lithium ion batteries including lithium ion polymer batteries,Lithium ion batteries including lithium ion polymer batteries,TRUE,TRUE,TRUE,3
UN3513,2.2,2.2,"Adsorbed gas, oxidizing, n.o.s","Adsorbed gas, oxidizing, n.o.s",TRUE,TRUE,TRUE,3
UN0030,1.1B,1.1B,"Detonators, electric, for blasting","Detonators, electric, for blasting",TRUE,TRUE,TRUE,2
UN0065,1.1D,1.1D,"Cord, detonating, flexible","Cord, detonating, flexible",TRUE,TRUE,TRUE,2
UN0082,1.1D,1.1D,"Explosive, blasting, type B","Explosive, blasting, type B",TRUE,TRUE,TRUE,2
UN0193,1.4S,1.4S,"Signals, railway track, explosive","Signals, railway track, explosive",TRUE,TRUE,TRUE,2
UN0240,1.3G,1.3G,"Rockets, line-throwing","Rockets, line-throwing",TRUE,TRUE,TRUE,2
UN0266,1.1D,1.1D,"Octolite or Octol, dry or wetted with less than 15 percent water, by mass","Octolite or Octol, dry or wetted with less than 15 percent water, by mass",TRUE,TRUE,TRUE,2
UN0294,1.2F,1.2F,Mines with bursting charge,Mines with bursting charge,TRUE,TRUE,TRUE,2
UN0347,1.4D,1.4D,"Projectiles, with burster or expelling charge","Projectiles, with burster or expelling charge",TRUE,TRUE,TRUE,2
UN0426,1.2F,1.2F,"Projectiles, with burster or expelling charge","Projectiles, with burster or expelling charge",TRUE,TRUE,TRUE,2
UN0435,1.4G,1.4G,"Projectiles, with burster or expelling charge","Projectiles, with burster or expelling charge",TRUE,TRUE,TRUE,2
UN1044,2.2,2.2,Fire extinguishers containing compressed or liquefied gas,Fire extinguishers containing compressed or liquefied gas,TRUE,TRUE,TRUE,2
UN1081,2.1,2.1,"Tetrafluoroethylene, stabilized","Tetrafluoroethylene, stabilized",TRUE,TRUE,TRUE,2
UN1107,3,3,Amyl chloride,Amyl chloride,TRUE,TRUE,TRUE,2
UN1155,3,3,Diethyl ether or Ethyl ether,Diethyl ether or Ethyl ether,TRUE,TRUE,TRUE,2
UN1161,3,3,Dimethyl carbonate,Dimethyl carbonate,TRUE,TRUE,TRUE,2
UN1169,3,NA,NA,"Extracts, aromatic, liquid",TRUE,FALSE,TRUE,2
UN1216,3,3,Isooctenes,Isooctenes,TRUE,TRUE,TRUE,2
UN1221,3,3,Isopropylamine,Isopropylamine,TRUE,TRUE,TRUE,2
UN1229,3,3,Mesityl oxide,Mesityl oxide,TRUE,TRUE,TRUE,2
UN1248,3,3,Methyl propionate,Methyl propionate,TRUE,TRUE,TRUE,2
UN1259,6.1,6.1,Nickel carbonyl,Nickel carbonyl,TRUE,TRUE,TRUE,2
UN1277,3,3,Propylamine,Propylamine,TRUE,TRUE,TRUE,2
UN1279,3,3,"1,2-Dichloropropane","1,2-Dichloropropane",TRUE,TRUE,TRUE,2
UN1286,3,3,Rosin oil,Rosin oil,TRUE,TRUE,TRUE,2
UN1296,3,3,Triethylamine,Triethylamine,TRUE,TRUE,TRUE,2
UN1304,3,3,"Vinyl isobutyl ether, stabilized","Vinyl isobutyl ether, stabilized",TRUE,TRUE,TRUE,2
UN1310,4.1,4.1,"Ammonium picrate, wetted with not less than 10 percent water, by mass","Ammonium picrate, wetted with not less than 10 percent water, by mass",TRUE,TRUE,TRUE,2
UN1314,4.1,4.1,"Calcium resinate, fused","Calcium resinate, fused",TRUE,TRUE,TRUE,2
UN1345,4.1,4.1,"Rubber scrap or shoddy, powdered or granulated, not exceeding 840 microns and rubber contend exceeding 45%","Rubber scrap or shoddy, powdered or granulated, not exceeding 840 microns and rubber contend exceeding 45%",TRUE,TRUE,TRUE,2
UN1347,4.1,4.1,"Silver picrate, wetted with not less than 30 percent water, by mass","Silver picrate, wetted with not less than 30 percent water, by mass",TRUE,TRUE,TRUE,2
UN1352,4.1,4.1,"Titanium powder, wetted with not less than 25 percent water (a visible excess of water must be present) (a) mechanically produced, particle size less than 53 microns; (b) chemically produced, particle size less than 840 microns","Titanium powder, wetted with not less than 25 percent water (a visible excess of water must be present) (a) mechanically produced, particle size less than 53 microns; (b) chemically produced, particle size less than 840 microns",TRUE,TRUE,TRUE,2
UN1355,4.1,4.1,"Trinitrobenzoic acid, wetted with not less than 30 percent water, by mass","Trinitrobenzoic acid, wetted with not less than 30 percent water, by mass",TRUE,TRUE,TRUE,2
UN1374,4.2,4.2,"Fish meal, unstablized or Fish scrap, unstabilized","Fish meal, unstablized or Fish scrap, unstabilized",TRUE,TRUE,TRUE,2
UN1376,4.2,4.2,"Iron oxide, spent, or Iron sponge, spent obtained from coal gas purification","Iron oxide, spent, or Iron sponge, spent obtained from coal gas purification",TRUE,TRUE,TRUE,2
UN1378,4.2,4.2,"Metal catalyst, wetted with a visible excess of liquid","Metal catalyst, wetted with a visible excess of liquid",TRUE,TRUE,TRUE,2
UN1384,4.2,4.2,Sodium dithionite or Sodium hydrosulfite,Sodium dithionite or Sodium hydrosulfite,TRUE,TRUE,TRUE,2
UN1392,4.3,4.3,"Alkaline earth metal amalgams, liquid","Alkaline earth metal amalgams, liquid",TRUE,TRUE,TRUE,2
UN1410,4.3,4.3,Lithium aluminum hydride,Lithium aluminum hydride,TRUE,TRUE,TRUE,2
UN1414,4.3,4.3,Lithium hydride,Lithium hydride,TRUE,TRUE,TRUE,2
UN1421,4.3,4.3,"Alkali metal alloys, liquid, n.o.s","Alkali metal alloys, liquid, n.o.s",TRUE,TRUE,TRUE,2
UN1422,4.3,4.3,"Potassium sodium alloys, liquid","Potassium sodium alloys, liquid",TRUE,TRUE,TRUE,2
UN1433,4.3,4.3,Stannic phosphide,Stannic phosphide,TRUE,TRUE,TRUE,2
UN1449,5.1,5.1,Barium peroxide,Barium peroxide,TRUE,TRUE,TRUE,2
UN1451,5.1,5.1,Cesium nitrate or Caesium nitrate,Cesium nitrate or Caesium nitrate,TRUE,TRUE,TRUE,2
UN1470,5.1,5.1,"Lead perchlorate, solid","Lead perchlorate, solid",TRUE,TRUE,TRUE,2
UN1472,5.1,5.1,Lithium peroxide,Lithium peroxide,TRUE,TRUE,TRUE,2
UN1492,5.1,5.1,Potassium persulfate,Potassium persulfate,TRUE,TRUE,TRUE,2
UN1498,5.1,5.1,Sodium nitrate,Sodium nitrate,TRUE,TRUE,TRUE,2
UN1504,5.1,5.1,Sodium peroxide,Sodium peroxide,TRUE,TRUE,TRUE,2
UN1508,5.1,5.1,Strontium perchlorate,Strontium perchlorate,TRUE,TRUE,TRUE,2
UN1510,6.1,6.1,Tetranitromethane,Tetranitromethane,TRUE,TRUE,TRUE,2
UN1511,5.1,5.1,Urea hydrogen peroxide,Urea hydrogen peroxide,TRUE,TRUE,TRUE,2
UN1517,4.1,4.1,"Zirconium picramate, wetted with not less than 20 percent water, by mass","Zirconium picramate, wetted with not less than 20 percent water, by mass",TRUE,TRUE,TRUE,2
UN1541,6.1,6.1,"Acetone cyanohydrin, stabilized","Acetone cyanohydrin, stabilized",TRUE,TRUE,TRUE,2
UN1549,6.1,6.1,"Antimony compounds, inorganic, solid, n.o.s","Antimony compounds, inorganic, solid, n.o.s",TRUE,TRUE,TRUE,2
UN1550,6.1,6.1,Antimony lactate,Antimony lactate,TRUE,TRUE,TRUE,2
UN1553,6.1,6.1,"Arsenic acid, liquid","Arsenic acid, liquid",TRUE,TRUE,TRUE,2
UN1560,6.1,6.1,Arsenic trichloride,Arsenic trichloride,TRUE,TRUE,TRUE,2
UN1574,6.1,6.1,"Calcium arsenate and calcium arsenite, mixtures, solid","Calcium arsenate and calcium arsenite, mixtures, solid",TRUE,TRUE,TRUE,2
UN1578,6.1,6.1,"Chloronitrobenzenes, solid","Chloronitrobenzenes, solid",TRUE,TRUE,TRUE,2
UN1579,6.1,6.1,"4-Chloro-o-toluidine hydrochloride, solid","4-Chloro-o-toluidine hydrochloride, solid",TRUE,TRUE,TRUE,2
UN1597,6.1,6.1,"Dinitrobenzenes, liquid","Dinitrobenzenes, liquid",TRUE,TRUE,TRUE,2
UN1623,6.1,6.1,Mercuric arsenate,Mercuric arsenate,TRUE,TRUE,TRUE,2
UN1648,3,3,Acetonitrile,Acetonitrile,TRUE,TRUE,TRUE,2
UN1654,6.1,6.1,Nicotine,Nicotine,TRUE,TRUE,TRUE,2
UN1659,6.1,6.1,Nicotine tartrate,Nicotine tartrate,TRUE,TRUE,TRUE,2
UN1687,6.1,6.1,Sodium azide,Sodium azide,TRUE,TRUE,TRUE,2
UN1695,6.1,6.1,"Chloroacetone, stabilized","Chloroacetone, stabilized",TRUE,TRUE,TRUE,2
UN1708,6.1,6.1,"Toluidines, liquid","Toluidines, liquid",TRUE,TRUE,TRUE,2
UN1710,6.1,6.1,Trichloroethylene,Trichloroethylene,TRUE,TRUE,TRUE,2
UN1711,6.1,6.1,"Xylidines, liquid","Xylidines, liquid",TRUE,TRUE,TRUE,2
UN1713,6.1,6.1,Zinc cyanide,Zinc cyanide,TRUE,TRUE,TRUE,2
UN1725,8,8,"Aluminum bromide, anhydrous","Aluminum bromide, anhydrous",TRUE,TRUE,TRUE,2
UN1733,8,8,"Antimony trichloride, liquid #OR# Antimony trichloride, solid","Antimony trichloride, liquid #OR# Antimony trichloride, solid",TRUE,TRUE,TRUE,2
UN1745,5.1,5.1,Bromine pentafluoride,Bromine pentafluoride,TRUE,TRUE,TRUE,2
UN1747,8,8,Butyltrichlorosilane,Butyltrichlorosilane,TRUE,TRUE,TRUE,2
UN1749,2.3,2.3,Chlorine trifluoride,Chlorine trifluoride,TRUE,TRUE,TRUE,2
UN1758,8,8,Chromium oxychloride,Chromium oxychloride,TRUE,TRUE,TRUE,2
UN1773,8,8,"Ferric chloride, anhydrous","Ferric chloride, anhydrous",TRUE,TRUE,TRUE,2
UN1798,8,8,Nitrohydrochloric acid,Nitrohydrochloric acid,TRUE,TRUE,TRUE,2
UN1825,8,8,Sodium monoxide,Sodium monoxide,TRUE,TRUE,TRUE,2
UN1836,8,8,Thionyl chloride,Thionyl chloride,TRUE,TRUE,TRUE,2
UN1849,8,8,"Sodium sulfide, hydrated with not less than 30 percent water","Sodium sulfide, hydrated with not less than 30 percent water",TRUE,TRUE,TRUE,2
UN1851,6.1,6.1,"Medicine, liquid, toxic, n.o.s","Medicine, liquid, toxic, n.o.s",TRUE,TRUE,TRUE,2
UN1857,4.2,4.2,"Textile waste, wet","Textile waste, wet",TRUE,TRUE,TRUE,2
UN1859,2.3,2.3,Silicon tetrafluoride,Silicon tetrafluoride,TRUE,TRUE,TRUE,2
UN1871,4.1,4.1,Titanium hydride,Titanium hydride,TRUE,TRUE,TRUE,2
UN1886,6.1,6.1,Benzylidene chloride,Benzylidene chloride,TRUE,TRUE,TRUE,2
UN1895,6.1,6.1,Phenylmercuric nitrate,Phenylmercuric nitrate,TRUE,TRUE,TRUE,2
UN1898,8,8,Acetyl iodide,Acetyl iodide,TRUE,TRUE,TRUE,2
UN1906,8,8,"Sludge, acid","Sludge, acid",TRUE,TRUE,TRUE,2
UN1911,2.3,2.3,Diborane,Diborane #OR# Diborane mixtures,TRUE,TRUE,TRUE,2
UN1928,4.3,4.3,"Methyl magnesium bromide, in ethyl ether","Methyl magnesium bromide, in ethyl ether",TRUE,TRUE,TRUE,2
UN1958,2.2,2.2,"1,2-Dichloro-1,1,2,2- tetrafluoroethane or Refrigerant gas R 114","1,2-Dichloro-1,1,2,2- tetrafluoroethane or Refrigerant gas R 114",TRUE,TRUE,TRUE,2
UN1977,2.2,2.2,"Nitrogen, refrigerated liquid cryogenic liquid","Nitrogen, refrigerated liquid cryogenic liquid",TRUE,TRUE,TRUE,2
UN1986,3,3,"Alcohols, flammable, toxic n.o.s","Alcohols, flammable, toxic n.o.s",TRUE,TRUE,TRUE,2
UN2001,4.1,4.1,"Cobalt naphthenates, powder","Cobalt naphthenates, powder",TRUE,TRUE,TRUE,2
UN2006,4.2,4.2,"Plastics, nitrocellulose-based, self-heating, n.o.s.","Plastics, nitrocellulose-based, self-heating, n.o.s.",TRUE,TRUE,TRUE,2
